2024/05/20 10:47:53 Fetching files in bucket s3graphtest10oz--use1-az6--x-s3
2024/05/20 10:47:54 Fetched 173 objects
2024/05/20 10:47:59 QueryId=6 Results=5 time=159ms
2024/05/20 10:47:59 QueryId=6 Results=8 time=326ms
2024/05/20 10:47:59 QueryId=6 Results=8 time=369ms
2024/05/20 10:47:59 QueryId=6 Results=6 time=376ms
2024/05/20 10:47:59 QueryId=6 Results=5 time=387ms
2024/05/20 10:47:59 QueryId=6 Results=8 time=413ms
2024/05/20 10:47:59 QueryId=6 Results=7 time=423ms
2024/05/20 10:47:59 QueryId=6 Results=6 time=462ms
2024/05/20 10:47:59 QueryId=6 Results=9 time=470ms
2024/05/20 10:47:59 QueryId=6 Results=6 time=503ms
{"S3Fetches":6881,"cacheHits":5124,"inFlightHits":267,"prefetcherHits":163}
